meta_data_id,IoT-HW-ID:,Raum betreten:,Personen imRaum:,Fenster geöffnet:,Tür geöffnet:,Heizung an:,Fernseher an:,PC an:,timestamp
1,a13d7,Nein,2,Ja,Ja,Nein,Nein,Nein,1542443040
2,a13d7,Ja,1,Ja,Nein,Ja,Nein,Nein,1542467160
3,a13d7,Ja,2,Ja,Ja,Ja,Nein,,1542507060
4,a13d7,Nein,2,Nein,Ja,Ja,Nein,Nein,1543563300
5,a13d7,Nein,1,Nein,Nein,Ja,Nein,Nein,1543564800
6,a13d7,Ja,1,Nein,Nein,Ja,Nein,Nein,1543599420
7,a13d7,Nein,1,Ja,Nein,Ja,Nein,Nein,1543610460
8,a13d7,Nein,1,Nein,Nein,Ja,Nein,Nein,1543611120
9,a13d7,Nein,1,Nein,Nein,Ja,Nein,Nein,1544446860
10,a13d7,Ja,2,Nein,Ja,Ja,Nein,Nein,1544447760
11,a13d7,Nein,1,Nein,Nein,Ja,Nein,Nein,1544447820
12,a13d7,Nein,0,Nein,Ja,Ja,Nein,Nein,1544453400
13,a13d7,Ja,1,Ja,Ja,Nein,Nein,Nein,1544457780
14,a13d7,Ja,0,Nein,Nein,Ja,Nein,Nein,1544459220
15,a13d7,Ja,1,Nein,Nein,Ja,Nein,Nein,1544485080
16,a13d7,Nein,1,Ja,Nein,Ja,Nein,Nein,1544485920
17,a13d7,Nein,1,Nein,Nein,Ja,Nein,Nein,1544486460
18,a13d7,Ja,2,Nein,Ja,Ja,Nein,Nein,1544500800
19,a13d7,Nein,1,Nein,Ja,Ja,Nein,Nein,1544517600
20,a13d7,Nein,0,Nein,Ja,Ja,Nein,Nein,1544542200
21,a13d7,Ja,1,Ja,Nein,Nein,Nein,Nein,1544543400
22,a13d7,Nein,0,Nein,Nein,Ja,Nein,Nein,1544544000
23,a13d7,Ja,1,Nein,Nein,Ja,Nein,Nein,1544564580
24,a13d7,Nein,1,Ja,Nein,Ja,Nein,Nein,1544572020
25,a13d7,Ja,2,Nein,Ja,Ja,Nein,Nein,1544585400
26,a13d7,Nein,1,Nein,Ja,Ja,Nein,Nein,1544599200
