,Dynamische Einflussfaktoren,,,,,,,
IoT-HW-ID:,Zeitstempel (DD-MM-YY HH:MM):,Raum betreten:,Personen imRaum:,Fenster geöffnet:,Tür geöffnet:,Heizung an:,Fernseher an:,PC an:
a02b7,10-11-18 16:20,Ja,1,Nein,Ja,Ja,Ja,Ja
a02b7,10-11-18 23:55,Ja,2,Nein,Ja,Ja,Nein,Nein
a02b7,11-11-18 23:50,Ja,2,Nein,Ja,Nein,Nein,Nein
a02b7,12-11-18 06:50,Ja,1,Nein,Ja,Nein,Nein,Nein
69080f,11-11-18 22:38,Ja,2,Nein,Ja,Nein,Nein,Nein
69080f,12-11-18 06:27,Nein,0,Ja,Nein,Nein,Nein,Nein
69080f,12-11-18 08:30,Nein,0,Nein,Nein,Nein,Nein,Nein
69080f,12-11-18 22:30,Ja,2,Nein,Ja,Nein,Nein,Nein
69080f,13-11-18 06:45,Nein,0,Ja,Nein,Nein,Nein,Nein
69080f,13-11-18 08:50,Nein,0,Nein,Nein,Nein,Nein,Nein
69080f,13-11-18 22:45,Ja,2,Nein,Ja,Nein,Nein,Nein
69080f,14-11-18 06:38,Nein,0,Ja,Nein,Nein,Nein,Nein
69080f,14-11-18 08:40,Nein,0,Nein,Nein,Nein,Nein,Nein
69080f,14-11-18 21:30,Ja,2,Nein,Ja,Nein,Nein,Nein
69080f,15-11-18 06:45,Nein,0,Ja,Nein,Nein,Nein,Nein
69080f,15-11-18 12:00,Nein,0,Nein,Nein,Nein,Nein,Nein
69080f,15-11-18 22:45,Ja,2,Nein,Ja,Nein,Nein,Nein
69080f,16-11-18 06:20,Nein,0,Ja,Nein,Nein,Nein,Nein
69080f,16-11-18 07:00,Nein,0,Nein,Nein,Nein,Nein,Nein
a02b7,16-11-18 00:15,Ja,2,Nein,Ja,Nein,Nein,Nein
a02b7,16-11-18 10:11,Nein,0,Nein,Ja,Nein,Nein,Nein
a02b7,17-11-18 01:25,Ja,2,Nein,Nein,Ja,Nein,Nein
a13d7,17-11-18 08:24,Nein,2,Ja,Ja,Nein,Nein,Nein
a13d7,17-11-18 15:06,Ja,1,Ja,Nein,Ja,Nein ,Nein 
a13d7,18-11-18 02:11,Ja ,2,Ja ,Ja,Ja ,Nein,
a02b7,19-11-18 18:20,Ja,1,Nein,Ja,Ja,Ja,Ja
a02b7,19-11-18 19:29,Nein,0,Nein,Ja,Ja,Nein,Nein
a02b7,19-11-18 22:35,Ja,1,Nein,Ja,Ja,Nein,Nein
a02b7,20-11-18 07:10,Nein,0,Nein,Ja,Ja,Nein,Nein
a02b7,20-11-18 17:15,Ja,1,Nein,Ja,Ja,Ja,Ja
a02b7,20-11-18 01:28,Ja,1,Nein,Ja,Nein,Nein,Nein
a02b7,21-11-18 07:05,Nein,0,Nein,Ja,Nein,Nein,Nein
a02b7,21-11-18 17:23,Ja,1,Nein,Ja,Ja,Ja,Ja
a02b7,21-11-18 23:32,Ja,1,Nein,Ja,Ja,Nein,Nein
a02b7,21-11-18 07:10,Nein,0,Nein,Ja,Ja,Nein,Nein
a02b7,22-11-18 21:05,Ja,1,Nein,Ja,Ja,Ja,Ja
a02b7,22-11-18 15:20,Ja,1,Ja,Ja,Ja,Ja,Ja
a02b7,26-11-18 20:36,Ja,1,Ja,Ja,Ja,Ja,Ja
69080f,25-11-18 22:20,Ja,2,Nein,Ja,Nein,Nein,Nein
69080f,26-11-18 06:20,Nein,0,Ja,Nein,Nein,Nein,Nein
a02b7,29-11-18 23:00,Ja,2,Nein,Ja,Ja,Nein,Nein
a13d7,30-11-18 07:35,Nein,2,Nein,Ja,Ja,Nein,Nein
a13d7,30-11-18 08:00,Nein,1,Nein,Nein,Ja,Nein,Nein
a13d7,30-11-18 17:37,Ja,1,Nein,Nein,Ja,Nein,Nein
a13d7,30-11-18 20:41,Nein,1,Ja,Nein,Ja,Nein,Nein
a13d7,30-11-18 20:52,Nein,1,Nein,Nein,Ja,Nein,Nein
a02b7,01-12-18 10:41,Ja,1,Nein,Ja,Ja,Ja,Ja
a02b7,01-12-18 11:41,Ja,1,Ja,Ja,Ja,Ja,Ja
a02b7,02-12-18 11:05,Ja,1,Ja,Ja,Ja,Ja,Ja
a02b7,18-12-03 16:00,Ja,1,Nein,Ja,Ja,Ja,Ja
a13d7,10-12-18 13:01,Nein,1,Nein,Nein,Ja,Nein,Nein
a13d7,10-12-18 13:16,Ja,2,Nein,Ja,Ja,Nein,Nein
a13d7,10-12-18 13:17,Nein,1,Nein,Nein,Ja,Nein,Nein
a13d7,10-12-18 14:50,Nein,0,Nein,Ja,Ja,Nein,Nein
a13d7,10-12-18 16:03,Ja,1,Ja,Ja,Nein,Nein,Nein
a13d7,10-12-18 16:27,Ja,0,Nein,Nein,Ja,Nein,Nein
a13d7,10-12-18 23:38,Ja,1,Nein,Nein,Ja,Nein,Nein
a02b7,11-12-18 22:21,Ja,1,Nein,Ja,Ja,Ja,Ja
a02b7,11-12-18 22:10,Ja,1,Nein,Nein,Nein,Nein,Nein
a13d7,10-12-18 23:52,Nein,1,Ja,Nein,Ja,Nein,Nein
a13d7,11-12-18 00:01,Nein,1,Nein,Nein,Ja,Nein,Nein
a13d7,11-12-18 04:00,Ja,2,Nein,Ja,Ja,Nein,Nein
a13d7,11-12-18 08:40,Nein,1,Nein,Ja,Ja,Nein,Nein
a13d7,11-12-18 15:30,Nein,0,Nein,Ja,Ja,Nein,Nein
a13d7,11-12-18 15:50,Ja,1,Ja,Nein,Nein,Nein,Nein
a13d7,11-12-18 16:00,Nein,0,Nein,Nein,Ja,Nein,Nein
a13d7,11-12-18 21:43,Ja,1,Nein,Nein,Ja,Nein,Nein
a13d7,11-12-18 23:47,Nein,1,Ja,Nein,Ja,Nein,Nein
a13d7,12-12-18 03:30,Ja,2,Nein,Ja,Ja,Nein,Nein
a13d7,12-12-18 07:20,Nein,1,Nein,Ja,Ja,Nein,Nein
a13d7,12-12-18 15:00,Nein,0,Nein,Ja,Ja,Nein,Nein
a13d7,12-12-18 15:10,Ja,1,Ja,Nein,Nein,Nein,Nein
a13d7,12-12-18 15:15,Nein,1,Nein,Nein,Ja,Nein,Nein
a13d7,12-12-18 15:16,Nein,0,Nein,Nein,Ja,Nein,Nein
a13d7,12-12-18 16:40,Ja,1,Ja,Nein,Nein,Nein,Nein
