raw_data_id,IoT-HW-ID:,Temperature:,Humidity:,timestamp
1,a13d7,20.8,65,1544446500
2,a13d7,21.4,73.5,1544446860
3,a13d7,20.7,74.9,1544446980
4,a13d7,20.3,76.4,1544447100
5,a13d7,20.4,76.3,1544447220
6,a13d7,20.5,75.8,1544447340
7,a13d7,20.5,75.4,1544447460
8,a13d7,20.6,75.2,1544447580
9,a13d7,20.4,74.7,1544447700
10,a13d7,20.6,74.7,1544447820
11,a13d7,20.7,74.6,1544447940
12,a13d7,20.7,74.5,1544448060
13,a13d7,20.7,74,1544448180
14,a13d7,20.8,74.2,1544448300
15,a13d7,20.7,74.2,1544448420
16,a13d7,20.7,74.5,1544448540
17,a13d7,20.8,74.7,1544448720
18,a13d7,20.6,74.6,1544448840
19,a13d7,20.6,75,1544448960
20,a13d7,20.5,75.1,1544449080
21,a13d7,20.5,76.1,1544449200
22,a13d7,20.5,75.5,1544449320
23,a13d7,20.4,76.4,1544449440
24,a13d7,20.5,75.4,1544449560
25,a13d7,20.5,75.3,1544449680
26,a13d7,20.6,75.1,1544449800
27,a13d7,20.6,74.7,1544449920
28,a13d7,20.3,74.5,1544450040
29,a13d7,20.6,75.2,1544450160
30,a13d7,20.5,75.5,1544450280
31,a13d7,20.4,75.5,1544450400
32,a13d7,20.5,75.4,1544450520
33,a13d7,20.5,75.2,1544450640
34,a13d7,20.6,75.1,1544450760
35,a13d7,20.7,74.7,1544450880
36,a13d7,20.7,74.4,1544451000
37,a13d7,20.7,74.2,1544451120
38,a13d7,20.8,74,1544451240
39,a13d7,20.8,73.9,1544451360
40,a13d7,20.8,73.9,1544451480
41,a13d7,20.8,73.7,1544451600
42,a13d7,20.5,74.4,1544451720
43,a13d7,20.8,73.3,1544451840
44,a13d7,20.9,73.5,1544451960
45,a13d7,20.9,73.2,1544452140
46,a13d7,20.9,73.3,1544452260
47,a13d7,20.9,73.3,1544452380
48,a13d7,20.9,73.1,1544452500
49,a13d7,20.9,72.9,1544452620
50,a13d7,20.9,72.7,1544452740
51,a13d7,20.9,72.2,1544452860
52,a13d7,20.9,73.3,1544452980
53,a13d7,20.9,72.9,1544453100
54,a13d7,20.8,73.3,1544453220
55,a13d7,20.8,73.5,1544453340
56,a13d7,20.9,73.6,1544453460
57,a13d7,20.8,72.5,1544453580
58,a13d7,20.8,72.3,1544453700
59,a13d7,20.8,72.2,1544453820
60,a13d7,20.8,72.3,1544453940
61,a13d7,20.4,71.7,1544454060
62,a13d7,20.8,71.9,1544454180
63,a13d7,20.7,72,1544454300
64,a13d7,20.7,72.3,1544454420
65,a13d7,20.7,72,1544454540
