IoT-HW-ID:,Timestamp:,Temperature:,Humidity:,Battery:,,
69080f,08.11.2018 22:01:01,23.40,35.40,3344,,
69080f,08.11.2018 22:03:03,23.40,35.60,3344,,
69080f,08.11.2018 22:05:05,23.40,35.60,3344,,
69080f,08.11.2018 22:07:06,23.40,35.70,3344,,Daten werden automatisch befüllt.
69080f,08.11.2018 22:11:07,23.40,35.10,3340,,
69080f,08.11.2018 22:13:09,23.40,35.60,3322,,
320c84,08.11.2018 22:27:10,23.40,35.90,3342,,
320c84,08.11.2018 22:29:12,23.40,36.40,3343,,
320c84,08.11.2018 22:31:14,23.30,36.30,3343,,Hier KEINE Werte eintragen
320c84,08.11.2018 22:33:16,23.40,36.50,3343,,
320c84,08.11.2018 22:35:17,23.40,36.60,3344,,
320c84,08.11.2018 22:37:19,23.30,36.60,3343,,
320c84,08.11.2018 22:39:21,23.30,36.70,3344,,
320c84,08.11.2018 22:41:22,23.30,36.60,3343,,
320c84,08.11.2018 22:43:24,23.30,36.70,3344,,
320c84,08.11.2018 22:45:26,23.30,36.80,3345,,
320c84,08.11.2018 22:47:28,23.30,36.80,3343,,
320c84,08.11.2018 22:49:30,23.30,36.80,3345,,
320c84,08.11.2018 22:51:32,23.20,36.80,3340,,
320c84,08.11.2018 22:53:34,23.10,36.90,3354,,
320c84,08.11.2018 22:55:35,23.10,37.00,3343,,
320c84,08.11.2018 22:57:40,23.00,37.10,3344,,
320c84,08.11.2018 22:59:42,23.00,37.20,3343,,
320c84,08.11.2018 23:01:43,22.90,37.20,3344,,
320c84,08.11.2018 23:03:45,22.90,37.30,3344,,
320c84,08.11.2018 23:05:47,22.80,37.20,3344,,
320c84,08.11.2018 23:07:49,22.80,37.20,3344,,
320c84,08.11.2018 23:09:51,22.80,37.20,3341,,
320c84,08.11.2018 23:11:53,22.70,37.10,3344,,
320c84,08.11.2018 23:13:54,22.70,37.20,3344,,
320c84,08.11.2018 23:15:56,22.70,37.30,3343,,
320c84,08.11.2018 23:17:58,22.60,37.20,3356,,
320c84,08.11.2018 23:20:00,22.60,37.20,3344,,
320c84,08.11.2018 23:22:02,22.60,37.30,3344,,
320c84,08.11.2018 23:24:03,22.60,37.30,3344,,
320c84,08.11.2018 23:26:05,22.50,37.20,3343,,
320c84,08.11.2018 23:28:07,22.50,37.80,3343,,
320c84,08.11.2018 23:30:09,22.50,37.30,3344,,
320c84,08.11.2018 23:32:10,22.50,37.30,3342,,
320c84,08.11.2018 23:34:12,22.50,37.30,3344,,
320c84,08.11.2018 23:36:14,22.50,36.90,3343,,
320c84,08.11.2018 23:38:16,22.40,37.30,3344,,
320c84,08.11.2018 23:40:17,22.40,37.30,3344,,
320c84,08.11.2018 23:42:19,22.40,37.30,3344,,
320c84,08.11.2018 23:44:21,22.40,37.40,3343,,
320c84,08.11.2018 23:46:23,22.40,37.40,3344,,
320c84,08.11.2018 23:48:25,22.40,37.40,3355,,
320c84,08.11.2018 23:50:27,22.30,37.30,3344,,
320c84,08.11.2018 23:52:28,22.30,37.40,3343,,
320c84,08.11.2018 23:54:31,22.30,37.40,3343,,
320c84,08.11.2018 23:56:32,22.30,37.40,3344,,
320c84,08.11.2018 23:58:34,22.30,37.60,3343,,
320c84,09.11.2018 00:00:36,22.30,37.40,3344,,
320c84,09.11.2018 00:02:38,22.30,37.40,3344,,
320c84,09.11.2018 00:04:39,22.20,37.40,3343,,
320c84,09.11.2018 00:06:41,22.20,37.40,3340,,
320c84,09.11.2018 00:08:43,22.20,37.40,3343,,
320c84,09.11.2018 00:10:45,22.20,37.50,3343,,
320c84,09.11.2018 00:12:47,22.20,37.50,3344,,
320c84,09.11.2018 00:14:49,22.20,37.50,3343,,
320c84,09.11.2018 00:16:50,22.20,37.50,3343,,
320c84,09.11.2018 00:18:52,22.20,37.50,3357,,
320c84,09.11.2018 00:20:54,22.20,37.50,3344,,
320c84,09.11.2018 00:22:56,22.20,37.50,3343,,
320c84,09.11.2018 00:24:58,22.20,37.50,3343,,
320c84,09.11.2018 00:27:00,22.10,37.50,3343,,
320c84,09.11.2018 00:29:02,22.10,37.50,3342,,
320c84,09.11.2018 00:31:04,22.10,37.50,3342,,
320c84,09.11.2018 00:33:05,22.10,37.40,3342,,
320c84,09.11.2018 00:35:07,22.10,37.40,3340,,
320c84,09.11.2018 00:37:09,22.10,37.50,3340,,
320c84,09.11.2018 00:39:11,22.10,37.50,3340,,
320c84,09.11.2018 00:41:13,22.10,37.50,3338,,
320c84,09.11.2018 00:43:15,22.10,37.50,3339,,
320c84,09.11.2018 00:45:16,22.00,37.50,3337,,
320c84,09.11.2018 00:47:18,22.10,37.50,3334,,
320c84,09.11.2018 00:49:20,22.00,37.50,3329,,
320c84,09.11.2018 00:51:22,22.00,37.50,3327,,
320c84,09.11.2018 00:53:23,22.00,37.50,3327,,
320c84,09.11.2018 00:55:26,22.00,37.50,3327,,
320c84,09.11.2018 00:57:27,22.00,37.50,3327,,
320c84,09.11.2018 00:59:29,22.00,37.50,3327,,
320c84,09.11.2018 01:01:31,22.00,37.50,3326,,
320c84,09.11.2018 01:03:33,22.00,37.50,3328,,
320c84,09.11.2018 01:05:35,22.00,37.60,3327,,
320c84,09.11.2018 01:07:36,22.00,37.60,3327,,
320c84,09.11.2018 01:09:38,22.00,37.60,3324,,
320c84,09.11.2018 01:11:40,22.00,37.60,3336,,
320c84,09.11.2018 01:13:42,22.00,37.60,3325,,
320c84,09.11.2018 01:15:44,22.00,37.60,3326,,
320c84,09.11.2018 01:17:46,22.00,38.20,3327,,
320c84,09.11.2018 01:19:48,22.00,37.60,3325,,
320c84,09.11.2018 01:21:49,22.00,37.60,3322,,
320c84,09.11.2018 01:23:51,22.00,37.60,3330,,
320c84,09.11.2018 01:25:53,22.00,37.60,3315,,
320c84,09.11.2018 01:27:55,22.00,37.60,3313,,
320c84,09.11.2018 01:29:57,22.00,37.60,3314,,
320c84,09.11.2018 01:31:59,22.00,37.60,3320,,
320c84,09.11.2018 01:34:01,22.00,37.70,3330,,
320c84,09.11.2018 01:36:02,22.00,37.60,3336,,
320c84,09.11.2018 01:38:04,22.00,37.70,3336,,
320c84,09.11.2018 01:40:07,22.00,37.70,3333,,
