raw_data_id,Personen imRaum:,Temperature:,Humidity:
1,1,20.8,65
2,1,21.4,73.5
3,1,20.7,74.9
4,1,20.3,76.4
5,1,20.4,76.3
6,1,20.5,75.8
7,1,20.5,75.4
8,1,20.6,75.2
9,1,20.4,74.7
10,1,20.6,74.7
11,1,20.7,74.6
12,1,20.7,74.5
13,1,20.7,74
14,1,20.8,74.2
15,1,20.7,74.2
16,1,20.7,74.5
17,1,20.8,74.7
18,1,20.6,74.6
19,1,20.6,75
20,1,20.5,75.1
21,1,20.5,76.1
22,1,20.5,75.5
23,1,20.4,76.4
24,1,20.5,75.4
25,1,20.5,75.3
26,1,20.6,75.1
27,1,20.6,74.7
28,1,20.3,74.5
29,1,20.6,75.2
30,1,20.5,75.5
31,1,20.4,75.5
32,1,20.5,75.4
33,1,20.5,75.2
34,1,20.6,75.1
35,1,20.7,74.7
36,1,20.7,74.4
37,1,20.7,74.2
38,1,20.8,74
39,1,20.8,73.9
40,1,20.8,73.9
41,1,20.8,73.7
42,1,20.5,74.4
43,1,20.8,73.3
44,1,20.9,73.5
45,1,20.9,73.2
46,1,20.9,73.3
47,1,20.9,73.3
48,1,20.9,73.1
49,1,20.9,72.9
50,1,20.9,72.7
51,1,20.9,72.2
52,1,20.9,73.3
53,1,20.9,72.9
54,1,20.8,73.3
55,1,20.8,73.5
56,0,20.9,73.6
57,0,20.8,72.5
58,0,20.8,72.3
59,0,20.8,72.2
60,0,20.8,72.3
61,0,20.4,71.7
62,0,20.8,71.9
63,0,20.7,72
64,0,20.7,72.3
65,0,20.7,72
66,0,20.7,72.2
67,0,20.6,72
68,0,20.6,72.3
69,0,20.7,72.6
70,0,20.7,72.5
71,0,20.6,72.5
72,0,20.4,72.2
73,0,20.6,72.5
74,0,20.6,72.5
75,0,20.6,72.5
76,0,20.8,72.2
77,0,20.6,72.2
78,0,20.6,71.8
79,0,20.6,72.5
80,0,20.6,72.6
81,0,20.6,72.5
82,0,20.2,72.1
83,0,20.6,72
84,0,20.6,72.1
85,0,20.6,72
86,0,20.6,71.9
87,0,20.5,71.8
88,0,20.5,71.8
89,0,20.6,71.7
90,0,20.5,73.1
91,0,20.2,61.9
92,1,19.8,58.2
